date,value
2010-02,61.8
2010-03,89.7
2010-04,78.6
2010-05,71.8
2010-06,72.1
2010-07,67.7
2010-08,70.1
2010-09,84.4
2010-10,83.7
2010-11,96.9
2010-12,103.4
2011-02,66.6
2011-03,99.2
2011-04,81.3
2011-05,75.9
2011-06,84.8
2011-07,77.7
2011-08,82.4
2011-09,93.0
2011-10,89.5
2011-11,98.3
2011-12,98.1
2012-02,87.5
2012-03,100.0
2012-04,93.3
2012-05,92.7
2012-06,90.4
2012-07,86.2
2012-08,89.3
2012-09,100.2
2012-10,93.4
2012-11,103.0
2012-12,104.8
2013-03,114.4
2013-04,109.7
2013-05,105.2
2013-06,103.7
2013-07,98.5
2013-08,102.3
2013-09,113.8
2013-10,115.6
2013-11,127.1
2013-12,127.1
2014-03,120.7
2014-04,114.7
2014-05,114.2
2014-06,110.2
2014-07,102.1
2014-08,101.5
2014-09,117.5
2014-10,117.4
2014-11,118.5
2014-12,114.1
2015-02,83.2
2015-03,115.0
2015-04,96.6
2015-05,91.7
2015-06,92.5
2015-07,70.8
2015-08,72.9
2015-09,86.9
2015-10,103.2
2015-11,119.7
2015-12,121.4
2016-03,109.2
2016-04,93.7
2016-05,90.3
2016-06,92.1
2016-07,89.4
2016-08,90.1
2016-09,113.0
2016-10,102.7
2016-11,128.1
2016-12,124.2
2017-03,105.7
2017-04,86.0
2017-05,85.5
2017-06,90.5
2017-07,86.6
2017-08,89.2
2017-09,119.0
2017-10,104.8
2017-11,126.8
2017-12,125.3
2018-03,103.7
2018-04,100.2
2018-05,103.9
2018-06,100.2
2018-07,90.4
2018-08,88.3
2018-09,102.8
2018-10,97.9
2018-11,104.2
2018-12,103.0
2019-03,98.8
2019-04,79.7
2019-05,77.3
2019-06,81.9
2019-07,74.6
2019-08,80.9
2019-09,89.8
2019-10,89.9
2019-11,100.5
2019-12,97.3
2020-03,54.6
2020-04,78.2
2020-05,78.6
2020-06,86.0
2020-07,82.5
2020-08,79.3
2020-09,92.5
2020-10,96.4
2020-11,106.3
2020-12,106.2
2021-03,87.5
2021-04,74.0
2021-05,78.0
2021-06,74.3
2021-07,70.6
2021-08,70.6
2021-09,82.5
2021-10,87.6
2021-11,99.3
2021-12,113.5
2022-03,83.7
2022-04,41.5
2022-05,75.8
2022-06,101.5
2022-07,96.2
2022-08,94.9
2022-09,106.8
2022-10,97.5
2022-11,92.8
2022-12,97.3
2023-03,88.7
2023-04,72.7
2023-05,84.7
2023-06,90.3
2023-07,82.5
2023-08,92.5
2023-09,101.1
2023-10,96.4
2023-11,102.1
2023-12,111.3
2024-03,92.2
2024-04,86.1
2024-05,83.8
2024-06,95.4
2024-07,82.5
2024-08,88.5
2024-09,97.9
2024-10,99.4
2024-11,117.1
2024-12,118.9
2025-03,115.8
2025-04,100.3
2025-05,100.7
2025-06,104.6
2025-07,96.6
2025-08,107.9
2025-09,125.9
2025-10,124.6
2025-11,133.1
2025-12,122.1
