算法,排名,英文关键词,中文关键词,得分
TF-IDF,1,space,太空,0.023741837028457717
TF-IDF,2,israel,以色列,0.023239603643920755
TF-IDF,3,year,年份,0.018872711269679154
TF-IDF,4,said,表示,0.018685580160793656
TF-IDF,5,armenians,亚美尼亚人,0.01735529024523381
TF-IDF,6,better,更好,0.01673329085368875
TF-IDF,7,thanks,感谢,0.015504639651956437
TF-IDF,8,program,程序,0.015036709996834943
TF-IDF,9,ftp,文件传输,0.014206331183893695
TF-IDF,10,need,需要,0.0141010666399502
TF-IDF,11,nasa,美国航天局,0.013935523436855984
TF-IDF,12,armenian,亚美尼亚,0.013826302087034795
TF-IDF,13,say,说,0.013523144263464099
TF-IDF,14,years,年份,0.013206842791840763
TF-IDF,15,problem,问题,0.012953515931111043
TextRank,1,said,表示,6.496451111711294
TextRank,2,armenians,亚美尼亚人,5.909006916817702
TextRank,3,data,数据,5.655233849574748
TextRank,4,space,太空,5.364735155944055
TextRank,5,armenian,亚美尼亚,5.13438842934245
TextRank,6,say,说,4.056936352311906
TextRank,7,went,前往,3.7542391903452494
TextRank,8,available,可用,3.649646779782288
TextRank,9,israel,以色列,3.5674528325298662
TextRank,10,image,图像,3.4968858573857626
TextRank,11,soldiers,士兵,3.3934280032983106
TextRank,12,edu,教育域名,3.302550015804776
TextRank,13,ftp,文件传输,3.171796868699201
TextRank,14,came,出现,3.1626240061814106
TextRank,15,way,方式,3.027114363108622
LSA,1,israel,以色列,0.01679325112862671
LSA,2,lost,失利,0.01374064168266626
LSA,3,armenians,亚美尼亚人,0.01354294100589989
LSA,4,won,获胜,0.01208033938563332
LSA,5,armenian,亚美尼亚,0.011678768854644727
LSA,6,ftp,文件传输,0.011123221532886323
LSA,7,space,太空,0.011012184165105042
LSA,8,israeli,以色列人,0.009263060153355311
LSA,9,files,文件,0.008186901981665199
LSA,10,baerga,贝尔加,0.008015128653754762
LSA,11,graphics,图形,0.0075879029643892235
LSA,12,alomar,阿洛马,0.007493415982062171
LSA,13,program,程序,0.0072132783721940924
LSA,14,nasa,美国航天局,0.006807756109073686
LSA,15,turkish,土耳其,0.006244726880002702
